ID,	Condition,	LearningVsPerformance,	MazeOrder,	MazeIdentity,	AOI,	AOI_Time,	HesistencyTime,	TotalTrialTime,	AverageHeartRate,	AverageGalvanicSkinResponse,	AOIFixation,	TotalFixation
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	0,	0,	Proximal,	0.0000,	7.3065,	12.4587,	0.0000,	0.0000,	0,	39
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	0,	0,	Distal,	5.1988,	7.3065,	12.4587,	0.0000,	0.0000,	0,	39
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	0,	0,	Sky,	2.6440,	7.3065,	12.4587,	0.0000,	0.0000,	0,	39
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	0,	0,	Lower,	4.6159,	7.3065,	12.4587,	0.0000,	0.0000,	0,	39
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	0,	0,	Proximal,	0.0000,	0.0000,	7.9057,	0.0000,	0.0000,	4,	45
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	0,	0,	Distal,	0.0000,	0.0000,	7.9057,	0.0000,	0.0000,	0,	45
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	0,	0,	Sky,	0.6648,	0.0000,	7.9057,	0.0000,	0.0000,	0,	45
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	0,	0,	Lower,	7.2408,	0.0000,	7.9057,	0.0000,	0.0000,	0,	45
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	1,	18,	Proximal,	7.1589,	7.5400,	16.1132,	0.0000,	0.0000,	3,	56
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	1,	18,	Distal,	0.0000,	7.5400,	16.1132,	0.0000,	0.0000,	0,	56
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	1,	18,	Sky,	1.1157,	7.5400,	16.1132,	0.0000,	0.0000,	0,	56
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	1,	18,	Lower,	7.8386,	7.5400,	16.1132,	0.0000,	0.0000,	0,	56
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	1,	18,	Proximal,	0.0000,	12.6284,	21.2871,	0.0000,	0.0000,	0,	65
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	1,	18,	Distal,	6.5865,	12.6284,	21.2871,	0.0000,	0.0000,	4,	65
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	1,	18,	Sky,	13.2588,	12.6284,	21.2871,	0.0000,	0.0000,	0,	65
User 22,	PROXIMAL AND DISTAL CONDITION,	Performance,	1,	18,	Lower,	1.4418,	12.6284,	21.2871,	0.0000,	0.0000,	0,	65
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	2,	13,	Proximal,	14.4647,	12.0941,	25.3705,	0.0000,	0.0000,	2,	62
User 22,	PROXIMAL AND DISTAL CONDITION,	Learning,	2,	13,	Distal,	0.0000,	12.0941,	25.3705,	0.0000,	0.0000,	3,	62
